marka,raw_ilan_sayisi,train_ilan_sayisi,kayip_ilan_sayisi,retention_pct,benzersiz_model_sayisi,benzersiz_yil_sayisi,min_yil,max_yil,min_fiyat,median_fiyat,mean_fiyat,max_fiyat,fiyat_araligi,p10_fiyat,p90_fiyat,min_km,median_km,max_km,arabam_ilan_sayisi,kaggle_legacy_ilan_sayisi,current_scrape_ratio,synthetic_currently_used,current_synthetic_count,brand_support_level,models_with_n_le_2,models_with_n_3_5,models_with_n_6_10,models_with_n_11_20,models_with_n_gt_20,weak_model_count,weak_model_ratio,synthetic_priority,preliminary_synthetic_candidate,synthetic_reason
Jaecoo,137,136,1,99.3,1,3,2024.0,2026.0,1799999.0,2127000.0,2136952.5661764704,2550000.0,750001.0,1947500.0,2347500.0,0.0,18500.0,130000.0,136,0,100.0,False,0,GOOD,0,0,0,0,1,0,0.0,LOW,False,Yeterli gercek kayit; marka duzeyinde sentetik destege ihtiyac yok.
Daihatsu,126,124,2,98.4,8,15,1990.0,2009.0,42000.0,297000.0,298994.7580645161,699000.0,657000.0,138000.0,447070.0,6000.0,219500.0,700000.0,66,58,53.2,False,0,GOOD,1,1,3,1,2,4,50.0,MEDIUM,True,"Toplam gercek kayit orta (124), 50% model dusuk destekli (n<10)."
Maserati,110,108,2,98.2,7,18,1994.0,2024.0,1399750.0,5125000.0,5219573.12962963,7950000.0,6550250.0,3433500.0,7250000.0,6100.0,106242.0,295000.0,75,33,69.4,False,0,GOOD,2,0,0,4,1,2,28.6,MEDIUM,True,"Toplam gercek kayit orta (108), yuksek fiyat segmenti, 29% model dusuk destekli (n<10)."
Lancia,94,93,1,98.9,4,9,2006.0,2014.0,250000.0,550000.0,622950.0,1850000.0,1600000.0,395000.0,734000.0,16000.0,190000.0,354000.0,41,52,44.1,False,0,MEDIUM,1,0,1,0,2,2,50.0,MEDIUM,True,"Toplam gercek kayit orta (93), 50% model dusuk destekli (n<10)."
Volta,93,89,4,95.7,13,4,2023.0,2026.0,27000.0,215000.0,207600.95505617978,515000.0,488000.0,35800.0,371000.0,0.0,6001.0,14000.0,81,8,91.0,False,0,MEDIUM,7,4,0,1,1,11,84.6,MEDIUM,True,"Toplam gercek kayit orta (89), 85% model dusuk destekli (n<10)."
Dodge,54,53,1,98.1,9,14,1992.0,2025.0,580000.0,1000000.0,2703392.433962264,9500000.0,8920000.0,654980.0,7650000.000000002,0.0,201000.0,469000.0,45,8,84.9,True,3,MEDIUM,4,3,0,1,1,7,77.8,MEDIUM,True,"Toplam gercek kayit orta (53), 78% model dusuk destekli (n<10)."
Smart,48,47,1,97.9,3,14,2000.0,2019.0,290000.0,464000.0,527098.9361702128,1149000.0,859000.0,342980.0,810000.0,54000.0,163000.0,361000.0,24,23,51.1,False,0,MODERATE,1,0,0,0,2,1,33.3,MEDIUM,True,"Toplam gercek kayit dusuk (47), 33% model dusuk destekli (n<10)."
Lexus,48,47,1,97.9,11,13,2006.0,2026.0,1265000.0,3580000.0,5029084.042553191,35500000.0,34235000.0,1349600.0,9379999.999999998,0.0,46000.0,216500.0,31,16,66.0,True,6,MODERATE,5,2,4,0,0,10,90.9,CRITICAL,True,"Toplam gercek kayit dusuk (47), yuksek fiyat segmenti, 91% model dusuk destekli (n<10)."
Infiniti,39,38,1,97.4,8,12,1996.0,2017.0,225000.0,1357500.0,1458821.2894736843,3148900.0,2923900.0,819500.0,2239500.0,97000.0,195425.0,349000.0,27,11,71.1,False,0,MODERATE,2,5,0,1,0,7,87.5,HIGH,True,"Toplam gercek kayit dusuk (38), 88% model dusuk destekli (n<10)."
Bentley,37,36,1,97.3,4,14,2008.0,2024.0,4250000.0,13800000.0,19167750.0,48500000.0,44250000.0,8575000.0,34750000.0,6001.0,46100.0,175365.0,16,20,44.4,True,6,MODERATE,2,0,1,0,1,3,75.0,CRITICAL,True,"Toplam gercek kayit dusuk (36), yuksek fiyat segmenti, 75% model dusuk destekli (n<10)."
